PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality,Date/Time
33.6,43.8,35.6,19.6,2.45,3.1,754,Hazardous,01-07-2012 10:00
7.5,15.2,24.1,8.6,1.49,6,417,Moderate,01-07-2012 11:00
30,47.3,26.5,8.1,1.41,6,613,Moderate,01-07-2012 12:00
23.1,28.1,16.2,9,0.95,10,437,Good,01-07-2012 13:00
8.6,19.7,31.1,10.3,1.61,8.1,562,Moderate,01-07-2012 14:00
10.5,24.1,26.8,16.5,2.13,5.1,686,Poor,01-07-2012 15:00
10.5,18,24.7,7,0.89,10.8,517,Good,01-07-2012 16:00
21.1,25.3,30.6,6.5,1.63,5.9,609,Moderate,01-07-2012 17:00
64.2,76.2,43.9,17.4,2.61,3.5,679,Poor,01-07-2012 18:00
58.1,74.1,14.2,9.7,1.41,5.5,489,Moderate,01-07-2012 19:00
43.6,55.1,27.9,11.3,1.65,6.9,664,Moderate,01-07-2012 20:00
68.4,85.3,37.5,16.9,2.34,9,695,Poor,01-07-2012 21:00
14.8,19.2,29.3,-0.4,1.48,8,451,Moderate,01-07-2012 22:00
5.5,10.5,15.4,4.1,1,12.7,549,Good,01-07-2012 23:00
22.1,27.2,35.5,8.1,1.54,8.5,713,Moderate,01-08-2012 00:00
4.7,22.7,35.9,14.7,2.97,5.2,631,Poor,01-08-2012 01:00
27.4,31.3,23.8,7.7,0.96,10.8,340,Good,01-08-2012 02:00
3.4,15.9,36,14.2,1.47,7.3,399,Moderate,01-08-2012 03:00
3.5,5.2,18.7,7.9,0.9,10.7,458,Good,01-08-2012 04:00
1.4,7.5,21.8,4.4,0.87,10.8,233,Good,01-08-2012 05:00
28.2,42.9,42.6,9.8,1.71,4.5,818,Poor,01-08-2012 06:00
21.4,29.3,23.4,9.6,1.17,5.7,612,Moderate,01-08-2012 07:00
2.4,17.5,50.9,31.5,3.04,5.1,937,Hazardous,01-08-2012 08:00
7.7,14.3,38.1,17.5,1.75,5.4,549,Poor,01-08-2012 09:00
28.4,50.6,34.5,42.3,2.28,3.2,685,Hazardous,01-08-2012 10:00
17.8,26.2,11,2.9,1.19,10.4,500,Good,01-08-2012 11:00
117,138.7,40.6,33.9,2.22,6.4,574,Hazardous,01-08-2012 12:00
5.3,10.8,34.8,15.9,1.16,6.4,728,Moderate,01-08-2012 13:00
39.4,54.8,39.5,6.8,2,4.2,493,Poor,01-08-2012 14:00
3.6,8.3,17.4,7,0.99,10.1,238,Good,01-08-2012 15:00
48.9,53.6,28.7,5.1,1.65,5.6,364,Moderate,01-08-2012 16:00
4.5,9.5,22.4,4.7,0.98,12.5,391,Good,01-08-2012 17:00
33.4,52.8,28.7,18.2,1.97,7.6,488,Poor,01-08-2012 18:00
17.2,34.6,27.9,6.5,1.44,5.4,405,Moderate,01-08-2012 19:00
10.7,17,12.9,5.1,1.07,10,572,Good,01-08-2012 20:00
3,15.1,22.8,21.8,1.76,5.1,405,Moderate,01-08-2012 21:00
6.5,23.6,41.6,16.5,1.46,6.4,806,Poor,01-08-2012 22:00
79.5,93.5,30,12.8,1.99,10.4,561,Poor,01-08-2012 23:00
17.6,47.1,41.1,26.4,2.45,6.8,623,Hazardous,01-09-2012 00:00
44.9,53.9,29.1,12.1,1.29,6.7,544,Moderate,01-09-2012 01:00
20.2,30.3,30.2,10.6,1.24,6.3,714,Moderate,01-09-2012 02:00
45.9,52.7,27.2,10.8,1.21,7.5,513,Moderate,01-09-2012 03:00
8.3,14.3,15,5.4,1,11.2,368,Good,01-09-2012 04:00
19.6,32.3,29.3,7.9,1.46,11.8,629,Moderate,01-09-2012 05:00
42.2,72,30.9,23.4,1.98,3.5,619,Hazardous,01-09-2012 06:00
17.4,30.2,19.1,10.5,1.68,5.6,490,Moderate,01-09-2012 07:00
16.4,20.2,24,9.9,0.85,11.5,506,Good,01-09-2012 08:00
22.3,31.7,22.4,11.6,1.81,8.3,585,Moderate,01-09-2012 09:00
12.1,17.6,14.2,6.2,1.04,11.1,600,Good,01-09-2012 10:00
10.9,15.2,14,4.4,1.12,10.5,354,Good,01-09-2012 11:00
8.2,27.2,24.9,13.9,2.69,3.8,808,Poor,01-09-2012 12:00
1.5,10.3,23.6,-0.4,0.93,11.5,386,Good,01-09-2012 13:00
3.1,10.6,11.1,4.9,0.88,12,500,Good,01-09-2012 14:00
24.9,36,25.8,6.3,1.69,6.4,516,Moderate,01-09-2012 15:00
6,11.3,25.8,0.7,0.9,10.7,231,Good,01-09-2012 16:00
24,28.5,22,8.8,1.64,5.3,518,Moderate,01-09-2012 17:00
27.7,28.8,34.3,12.3,1.55,6.2,631,Moderate,01-09-2012 18:00
5.3,10.5,18.4,5,0.99,10.4,547,Good,01-09-2012 19:00
35.4,58.2,41.2,7.9,2.06,5.1,662,Poor,01-09-2012 20:00
63,85.1,52.6,20.1,2.6,6.5,778,Hazardous,01-09-2012 21:00
80.5,96.9,35,1.7,2,4.4,630,Poor,01-09-2012 22:00
12.2,22.1,31.3,15.5,1.7,5,389,Moderate,01-09-2012 23:00
3.6,8.8,19.1,6.6,1.05,17.8,379,Good,01-10-2012 00:00
6,25.9,45.5,17.8,1.58,4,470,Poor,01-10-2012 01:00
10.7,19.8,24.9,12.4,2,6.4,472,Moderate,01-10-2012 02:00
70.8,87.3,32.9,17,2.33,4.8,557,Hazardous,01-10-2012 03:00
79.2,86,31.4,7.6,1.46,5.9,615,Moderate,01-10-2012 04:00
0,4.5,25.1,4.3,1.07,11,536,Good,01-10-2012 05:00
1.1,3.6,21.2,5.1,0.96,11.4,470,Good,01-10-2012 06:00
19.1,22.2,24,7,1.07,10.6,371,Good,01-10-2012 07:00
6.4,14.2,38.8,11,2.24,9,644,Poor,01-10-2012 08:00
12.1,18.5,17.5,5.1,2.03,9.3,502,Moderate,01-10-2012 09:00
11.1,17.7,15.1,7.6,1.06,16.4,334,Good,01-10-2012 10:00
9,21.6,39.1,7.5,1.79,5.2,450,Moderate,01-10-2012 11:00
11.7,16.7,24.4,2.3,1.05,10.1,430,Good,01-10-2012 12:00
10.7,19,38.1,9.6,2.55,4.8,429,Poor,01-10-2012 13:00
10.2,12.8,11.4,4.5,1.13,10.9,362,Good,01-10-2012 14:00
124.1,135.5,32,10,2.02,5,566,Poor,01-10-2012 15:00
103,106.4,26.5,22.3,2.38,3.7,844,Hazardous,01-10-2012 16:00
1.1,19.5,29.7,4,1.78,6.3,402,Moderate,01-10-2012 17:00
8.4,10.9,17.2,7.2,0.96,14.8,497,Good,01-10-2012 18:00
3.8,13.6,28.1,20.3,1.54,5.2,701,Moderate,01-10-2012 19:00
85.9,101.9,45,25.8,1.82,7.4,804,Poor,01-10-2012 20:00
7.4,10.6,23.7,5.2,1.14,13.4,292,Good,01-10-2012 21:00
3.9,18.1,30.7,15.5,1.62,3.7,457,Poor,01-10-2012 22:00
7,26.4,30.4,20.2,2.19,4.2,770,Poor,01-10-2012 23:00
4,14.1,22.2,3.2,1.05,11.9,225,Good,01-11-2012 00:00
33.9,44,35.9,9.1,1.41,6.2,488,Moderate,01-11-2012 01:00
6.5,13.2,21.8,5.1,0.88,11.1,412,Good,01-11-2012 02:00
28.2,40.3,37,11.3,1.56,6.9,559,Moderate,01-11-2012 03:00
3.2,9.9,18.6,5.2,0.93,13.6,438,Good,01-11-2012 04:00
11.8,30.9,26.1,23.5,2.16,5.4,730,Poor,01-11-2012 05:00
5.4,31,50.3,15.6,2.81,6.4,503,Hazardous,01-11-2012 06:00
2.3,18.4,30.9,15.1,1.54,5,355,Moderate,01-11-2012 07:00
6.2,12.7,23.6,5.9,1.04,11.1,389,Good,01-11-2012 08:00
22.5,52,38.2,9,2.65,8.4,611,Hazardous,01-11-2012 09:00
8.9,16.1,33.3,8.5,1.19,6,447,Moderate,01-11-2012 10:00
0.1,8.8,31.2,5.7,1.41,5.6,351,Moderate,01-11-2012 11:00
16.6,22.4,21.3,7,1.02,12.2,210,Good,01-11-2012 12:00
7.2,9.1,20.8,4.7,1.07,10.2,379,Good,01-11-2012 13:00
1.9,6.4,20.6,4.3,1.19,11.3,493,Good,01-11-2012 14:00
1.9,3.6,13.5,6.2,1.07,11.4,492,Good,01-11-2012 15:00
0.3,7.1,17.3,3.2,1.01,11.4,212,Good,01-11-2012 16:00
2.3,18.1,29.4,10.1,1.45,6,633,Moderate,01-11-2012 17:00
17.9,46,42.9,21.1,2.36,2.8,517,Hazardous,01-11-2012 18:00
2.9,13.9,22.2,14.5,1.59,7.7,661,Moderate,01-11-2012 19:00
9.3,25,21.2,9.7,1.59,7.5,404,Moderate,01-11-2012 20:00
1.2,6.9,11.5,5.5,1.18,15.7,451,Good,01-11-2012 21:00
1.8,8.5,18.6,8.3,0.94,13.1,207,Good,01-11-2012 22:00
21.7,41.3,28.1,2.7,1.66,5.9,745,Poor,01-11-2012 23:00
24.3,49.8,28.2,11.5,2.03,8.5,818,Poor,01-12-2012 00:00
18.4,23.1,21.5,2.6,1.03,12.1,253,Good,01-12-2012 01:00
47.1,65.4,35.8,17.1,2.03,5.2,661,Poor,01-12-2012 02:00
22.3,34.2,43.7,17.4,2.07,3.1,900,Hazardous,01-12-2012 03:00
20.6,24.8,24.1,12.4,1.46,6.7,576,Moderate,01-12-2012 04:00
72.7,96.6,34.3,14.9,2.54,5.7,797,Hazardous,01-12-2012 05:00
0.6,6,22.4,3.5,0.74,11.6,583,Good,01-12-2012 06:00
8.9,19.6,41.7,9.9,2.14,5.1,473,Poor,01-12-2012 07:00
4.7,9.3,21.2,5.2,1.15,16,541,Good,01-12-2012 08:00
6,15.4,29.2,6,1.42,8.7,564,Moderate,01-12-2012 09:00
0.2,4.7,24.6,10.2,1.49,5.3,696,Moderate,01-12-2012 10:00
0.3,8.1,15.9,6.3,1.02,15.6,381,Good,01-12-2012 11:00
3.7,9.5,17.2,8.9,1.61,5.7,504,Moderate,01-12-2012 12:00
22.8,26,26.5,4.1,0.91,12.2,406,Good,01-12-2012 13:00
34.1,42.9,23.9,9.4,1.63,9.1,629,Moderate,01-12-2012 14:00
8.6,16.5,22.4,6.2,0.99,16.7,514,Good,01-12-2012 15:00
18.6,23.5,17.1,5.5,1.01,12.1,443,Good,01-12-2012 16:00
7.4,30,28.5,16.3,1.8,7.2,711,Poor,01-12-2012 17:00
48.9,62.9,30.1,11.5,2.74,3.7,617,Hazardous,01-12-2012 18:00
26.4,34.1,29.2,17.2,1.33,6.5,619,Moderate,01-12-2012 19:00
21.5,34,25.6,7.6,1.21,6.1,401,Moderate,01-12-2012 20:00
0.7,15.8,16.9,8.6,1.65,5.2,662,Moderate,01-12-2012 21:00
5.1,9.8,19.3,2.7,0.9,10.9,271,Good,01-12-2012 22:00
57.6,80.4,38.9,28.6,2.15,3.4,463,Poor,01-12-2012 23:00
3.8,14.9,20.3,5.2,1.38,6.3,629,Moderate,1/13/2012 0:00
82.1,103.4,45.4,29.3,2.26,7.4,747,Poor,1/13/2012 1:00
34.4,44,33.6,12.7,1.34,6.4,372,Moderate,1/13/2012 2:00
69.5,78.1,29.1,16.2,2.28,7.2,420,Poor,1/13/2012 3:00
19.1,50.4,49.3,7.4,2.15,3.3,879,Hazardous,1/13/2012 4:00
2,8.2,27.9,3.4,1.05,17,330,Good,1/13/2012 5:00
60.3,81.9,32.2,16,2.28,2.7,526,Hazardous,1/13/2012 6:00
1.2,10,26.5,3.4,0.91,12.1,377,Good,1/13/2012 7:00
18.9,21.1,25.5,5,0.96,11.3,416,Good,1/13/2012 8:00
17.3,25.3,30.5,6,1.55,8,482,Moderate,1/13/2012 9:00
117.8,127.8,39.4,28.4,2.75,9.2,774,Hazardous,1/13/2012 10:00
0.3,6.4,23.4,7.3,1.05,10.5,432,Good,1/13/2012 11:00
5.9,13,14.2,6.7,0.96,10.5,547,Good,1/13/2012 12:00
1.9,10.4,22.7,2.1,0.89,10.8,300,Good,1/13/2012 13:00
15.8,19.6,17.4,5.6,0.99,11.4,516,Good,1/13/2012 14:00
21.9,27.3,21.9,4.3,1.02,11.1,336,Good,1/13/2012 15:00
60.1,76.5,21.4,9.2,1.44,5.7,512,Moderate,1/13/2012 16:00
7.8,15.2,34.1,9.8,1.63,5.4,392,Moderate,1/13/2012 17:00
8.4,13,16.5,5,1.01,10.1,226,Good,1/13/2012 18:00
13.6,19.1,21.6,4.6,1.07,10.5,231,Good,1/13/2012 19:00
17.1,20.3,20.5,6.7,0.9,10.5,355,Good,1/13/2012 20:00
21.1,27.8,21.1,4.5,1.03,10,384,Good,1/13/2012 21:00
8.4,15,24.2,2.6,1.01,11.5,275,Good,1/13/2012 22:00
1.5,6.5,25.5,2.5,1.07,10.5,303,Good,1/13/2012 23:00
13.6,22.2,35.2,7.3,1.31,9.1,534,Moderate,1/14/2012 0:00
3.6,21.7,62.1,13.5,2.35,2.7,678,Hazardous,1/14/2012 1:00
7.3,14.8,30.4,7.2,1.73,8.4,606,Moderate,1/14/2012 2:00
1.4,3.5,22.5,4.8,0.89,10.3,407,Good,1/14/2012 3:00
5.2,8.6,30.6,14,1.47,10.5,485,Moderate,1/14/2012 4:00
0.7,7.9,10.2,6.3,0.95,11.6,489,Good,1/14/2012 5:00
1.8,6.7,14.6,4.8,0.78,16,260,Good,1/14/2012 6:00
16,16.6,15.2,6.8,1.04,10.5,439,Good,1/14/2012 7:00
90,99.8,29.1,10.7,1.94,5.2,573,Poor,1/14/2012 8:00
37.4,46.7,42.9,21.3,2.16,2.8,679,Hazardous,1/14/2012 9:00
54.5,65.5,20.2,7.9,1.42,9,418,Moderate,1/14/2012 10:00
16.3,25.3,23,7.7,1.71,5.5,344,Moderate,1/14/2012 11:00
6.2,30.2,36.5,17.8,2.31,2.9,465,Hazardous,1/14/2012 12:00
48.5,66.5,29,15.2,2.4,6,569,Poor,1/14/2012 13:00
24.8,35.9,28.1,13.4,1.53,7.4,440,Moderate,1/14/2012 14:00
9.9,20.1,24.3,11.1,1.19,6.2,453,Moderate,1/14/2012 15:00
0.2,7.1,24.7,6.1,1.1,13.2,370,Good,1/14/2012 16:00
3,23.6,28.6,14.2,2.07,10.1,548,Poor,1/14/2012 17:00
64.5,78.8,26.5,10.3,1.87,12.2,579,Poor,1/14/2012 18:00
1.8,7.3,25.2,3.4,1.16,11.7,501,Good,1/14/2012 19:00
4,11.5,14.3,9.7,0.95,13.6,466,Good,1/14/2012 20:00
24.7,27.3,27.5,7.7,1.01,10.5,315,Good,1/14/2012 21:00
63.2,69.5,44.7,23.5,2.35,3.5,771,Hazardous,1/14/2012 22:00
22.2,32.8,36.9,1.1,1.55,5,437,Moderate,1/14/2012 23:00
3.9,10.3,24.2,5.5,1.09,10.3,580,Good,1/15/2012 0:00
9.4,20,25.3,14.9,1.55,6.7,626,Moderate,1/15/2012 1:00
60.3,68.4,35.5,14,2.17,3.4,580,Poor,1/15/2012 2:00
22.6,46.2,37.5,23,2.01,3.7,509,Poor,1/15/2012 3:00
33.3,51.4,48,12.8,2.54,3.6,709,Hazardous,1/15/2012 4:00
5.9,9,19.3,0.7,0.91,10.6,219,Good,1/15/2012 5:00
4.2,10.2,20.8,3.2,0.92,11.6,487,Good,1/15/2012 6:00
7.4,11.4,10.6,7.4,0.95,10.8,316,Good,1/15/2012 7:00
19.9,25.3,22.8,3.9,0.78,13.8,385,Good,1/15/2012 8:00
31.7,53.6,50.5,35.4,2.5,3.8,822,Hazardous,1/15/2012 9:00
